Order Line,Order ID,Bar code value,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit
7952,OF-2023-164959,98365963,2023-01-01,2023-01-05,Standard Class,KN-16390,OFF-LA-10004272,8.67,3,0,4.0749
7953,OF-2023-156818,78358033,2023-01-01,2023-01-03,Second Class,JD-16015,TEC-AC-10002323,132.6,6,0,17.238
7954,OF-2023-127656,29106221,2023-01-01,2023-01-07,Standard Class,NW-18400,OFF-AR-10001166,30.32,4,0,11.8248
7955,OF-2023-162015,64360984,2023-01-01,2023-01-08,Standard Class,KB-16240,TEC-AC-10003832,1287.45,5,0,244.6155
7956,OF-2023-162015,13758768,2023-01-01,2023-01-08,Standard Class,KB-16240,OFF-AP-10003040,168.1,5,0,43.706
7957,OF-2023-136623,5433063,2023-01-01,2023-01-06,Standard Class,TS-21430,TEC-PH-10000004,71.952,6,0.2,5.3964
7958,OF-2023-136623,12446653,2023-01-01,2023-01-06,Standard Class,TS-21430,OFF-BI-10003708,29.8,5,0.2,9.3125
7959,OF-2023-106047,68728870,2023-01-02,2023-01-08,Standard Class,CS-11860,OFF-PA-10000791,3.816,1,0.2,1.1925
7960,OF-2023-136364,34695537,2023-01-03,2023-01-07,Second Class,MH-17455,TEC-PH-10003885,39.594,1,0.4,-7.2589
7961,OF-2023-136364,64485645,2023-01-03,2023-01-07,Second Class,MH-17455,FUR-FU-10002501,91.008,9,0.2,19.3392
7962,OF-2023-102155,30629795,2023-01-03,2023-01-07,Standard Class,RR-19525,OFF-ST-10001496,360.38,2,0,93.6988
7963,OF-2023-102155,61937279,2023-01-03,2023-01-07,Standard Class,RR-19525,OFF-PA-10003673,13.56,2,0,6.2376
7964,OF-2023-121048,89708580,2023-01-04,2023-01-08,Standard Class,TC-21295,OFF-BI-10004022,4.448,2,0.2,1.4456
7965,OF-2023-121048,49069757,2023-01-04,2023-01-08,Standard Class,TC-21295,FUR-FU-10003601,276.69,3,0,49.8042
7966,OF-2023-121048,28294983,2023-01-04,2023-01-08,Standard Class,TC-21295,OFF-FA-10000490,4.96,4,0,2.3312
7967,OF-2023-121048,7816539,2023-01-04,2023-01-08,Standard Class,TC-21295,OFF-AR-10004042,71.92,4,0,20.8568
7968,OF-2023-121048,54652978,2023-01-04,2023-01-08,Standard Class,TC-21295,FUR-FU-10002960,18.84,3,0,7.9128
7969,OF-2023-121048,55773764,2023-01-04,2023-01-08,Standard Class,TC-21295,TEC-AC-10000991,140.97,3,0,19.7358
7970,OF-2023-121048,74797963,2023-01-04,2023-01-08,Standard Class,TC-21295,TEC-PH-10004977,470.376,3,0.2,52.9173
7971,ON-2023-161935,49150949,2023-01-04,2023-01-08,Standard Class,JL-15835,OFF-PA-10000605,9.248,2,0.2,3.3524
7972,ON-2023-161935,80417948,2023-01-04,2023-01-08,Standard Class,JL-15835,TEC-PH-10000560,1889.946,9,0.4,-377.9892
