Order Line,Order ID,Bar code value,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit
1,OF-2019-103800,76712049,2019-06-26,2019-06-30,Standard Class,DP-13000,OFF-PA-10000174,16.448,2,0.2,5.5512
2,OF-2019-112326,46118691,2019-06-27,2019-07-01,Standard Class,PO-19195,OFF-LA-10003223,11.784,3,0.2,4.2717
3,OF-2019-112326,00326526,2019-06-27,2019-07-01,Standard Class,PO-19195,OFF-ST-10002743,272.736,3,0.2,-64.7748
4,OF-2019-112326,88039927,2019-06-27,2019-07-01,Standard Class,PO-19195,OFF-BI-10004094,3.54,2,0.8,-5.487
5,OF-2019-141817,87771881,2019-06-28,2019-07-05,Standard Class,MB-18085,OFF-AR-10003478,19.536,3,0.2,4.884
6,OF-2019-130813,48602171,2019-06-29,2019-07-01,Second Class,LS-17230,OFF-PA-10002005,19.44,3,0,9.3312
7,OF-2019-106054,94110873,2019-06-29,2019-06-30,First Class,JO-15145,OFF-AR-10002399,12.78,3,0,5.2398
8,OF-2019-167199,86917556,2019-06-29,2019-07-03,Standard Class,ME-17320,FUR-CH-10004063,2573.82,9,0,746.4078
9,OF-2019-167199,32673450,2019-06-29,2019-07-03,Standard Class,ME-17320,OFF-BI-10004632,609.98,2,0,274.491
10,OF-2019-167199,16475297,2019-06-29,2019-07-03,Standard Class,ME-17320,OFF-AR-10001662,5.48,2,0,1.4796
11,OF-2019-167199,72828216,2019-06-29,2019-07-03,Standard Class,ME-17320,TEC-PH-10004977,391.98,2,0,113.6742
12,OF-2019-167199,11284723,2019-06-29,2019-07-03,Standard Class,ME-17320,TEC-PH-10004539,755.96,4,0,204.1092
13,OF-2019-167199,08344107,2019-06-29,2019-07-03,Standard Class,ME-17320,OFF-FA-10001883,31.12,4,0,0.3112
14,OF-2019-167199,14078091,2019-06-29,2019-07-03,Standard Class,ME-17320,OFF-PA-10000955,6.54,1,0,3.0084
15,OF-2019-105417,35540206,2019-06-30,2019-07-05,Standard Class,VS-21820,FUR-FU-10004864,76.728,3,0.6,-53.7096
16,OF-2019-105417,80073653,2019-06-30,2019-07-05,Standard Class,VS-21820,OFF-BI-10003708,10.43,7,0.8,-18.2525
17,OF-2019-135405,88581999,2019-07-02,2019-07-06,Standard Class,MS-17830,OFF-AR-10004078,9.344,2,0.2,1.168
18,OF-2019-135405,68142965,2019-07-02,2019-07-06,Standard Class,MS-17830,TEC-AC-10001266,31.2,3,0.2,9.75
19,OF-2019-149020,65272019,2019-07-03,2019-07-08,Standard Class,AJ-10780,OFF-LA-10004272,2.89,1,0,1.3583
20,OF-2019-149020,28269041,2019-07-03,2019-07-08,Standard Class,AJ-10780,FUR-FU-10000965,51.94,1,0,21.2954
21,OF-2019-130092,39513654,2019-07-04,2019-07-07,First Class,SV-20365,FUR-FU-10000010,9.94,2,0,3.0814
22,OF-2019-162775,14372898,2019-07-06,2019-07-08,Second Class,CS-12250,OFF-EN-10001990,11.36,2,0,5.3392
23,OF-2019-162775,27633819,2019-07-06,2019-07-08,Second Class,CS-12250,OFF-EN-10001532,50.94,3,0,25.47
24,OF-2019-162775,98803136,2019-07-06,2019-07-08,Second Class,CS-12250,TEC-AC-10003174,646.74,6,0,258.696
25,OF-2019-162775,59846310,2019-07-06,2019-07-08,Second Class,CS-12250,OFF-BI-10004187,5.64,3,0,2.7072
26,OF-2019-162775,58628083,2019-07-06,2019-07-08,Second Class,CS-12250,OFF-ST-10000025,572.58,6,0,34.3548
27,OF-2019-109232,89615820,2019-07-06,2019-07-09,Second Class,ND-18370,FUR-CH-10000422,545.94,6,0,87.3504
28,OF-2019-157147,94416235,2019-07-06,2019-07-11,Standard Class,BD-11605,OFF-ST-10000078,1325.85,5,0,238.653
29,OF-2019-157147,09075031,2019-07-06,2019-07-11,Standard Class,BD-11605,FUR-BO-10003034,333.999,3,0.15,3.9294
30,OF-2019-157147,23540804,2019-07-06,2019-07-11,Standard Class,BD-11605,OFF-AR-10003514,19.9,5,0,6.567
31,OF-2019-118192,40366392,2019-07-06,2019-07-11,Standard Class,MM-17920,OFF-PA-10002947,37.408,7,0.2,13.0928
32,OF-2019-118192,75652901,2019-07-06,2019-07-11,Standard Class,MM-17920,OFF-BI-10003476,3.438,2,0.7,-2.5212
33,OF-2019-149524,89743026,2019-07-07,2019-07-08,First Class,BS-11590,FUR-BO-10003433,61.96,4,0.5,-53.2856
34,OF-2019-103366,42681652,2019-07-08,2019-07-10,First Class,EH-13990,TEC-AC-10003628,149.95,5,0,65.978
35,OF-2019-115791,36251030,2019-07-09,2019-07-11,Second Class,DL-13315,FUR-FU-10001095,127.104,6,0.2,28.5984
36,OF-2019-115791,97674595,2019-07-09,2019-07-11,Second Class,DL-13315,TEC-PH-10004614,124.2,3,0.4,-31.05
37,OF-2019-115791,10680636,2019-07-09,2019-07-11,Second Class,DL-13315,OFF-BI-10001575,18.588,2,0.7,-13.6312
38,OF-2019-115791,56503394,2019-07-09,2019-07-11,Second Class,DL-13315,OFF-LA-10001074,30.072,3,0.2,10.1493
39,OF-2019-123477,19290516,2019-07-11,2019-07-14,Second Class,DW-13195,OFF-AP-10000692,64.864,4,0.2,6.4864
40,OF-2019-146591,31223076,2019-07-12,2019-07-13,First Class,TS-21340,OFF-BI-10003676,32.34,10,0.7,-23.716
41,OF-2019-146591,78804477,2019-07-12,2019-07-13,First Class,TS-21340,OFF-PA-10000659,56.064,4,0.2,19.6224
42,OF-2019-146591,13983111,2019-07-12,2019-07-13,First Class,TS-21340,OFF-EN-10002504,108.72,5,0.2,36.693
43,OF-2019-146591,86858862,2019-07-12,2019-07-13,First Class,TS-21340,FUR-BO-10001972,181.47,5,0.7,-320.597
44,ON-2019-147627,65874436,2019-07-13,2019-07-19,Standard Class,HL-15040,TEC-PH-10001061,699.93,7,0,181.9818
